timestamp,altitude,battery_voltage,temperature
2024-01-01 00:00:00,400000.0,28.0,20.0
2024-01-01 00:01:00,400100.0,27.99,20.2
2024-01-01 00:02:00,400200.0,27.98,20.4
2024-01-01 00:03:00,400300.0,27.97,20.6
2024-01-01 00:04:00,400400.0,27.96,20.8
2024-01-01 00:05:00,400500.0,27.95,21.0
2024-01-01 00:06:00,400600.0,27.94,21.2
2024-01-01 00:07:00,400700.0,27.93,21.4
2024-01-01 00:08:00,400800.0,27.92,21.6
2024-01-01 00:09:00,400900.0,27.91,21.8
2024-01-01 00:10:00,401000.0,27.9,20.0
2024-01-01 00:11:00,401100.0,27.89,20.2
2024-01-01 00:12:00,401200.0,27.88,20.4
2024-01-01 00:13:00,401300.0,27.87,20.6
2024-01-01 00:14:00,401400.0,27.86,20.8
2024-01-01 00:15:00,401500.0,27.85,21.0
2024-01-01 00:16:00,401600.0,27.84,21.2
2024-01-01 00:17:00,401700.0,27.83,21.4
2024-01-01 00:18:00,401800.0,27.82,21.6
2024-01-01 00:19:00,401900.0,27.81,21.8
2024-01-01 00:20:00,402000.0,27.8,20.0
2024-01-01 00:21:00,402100.0,27.79,20.2
2024-01-01 00:22:00,402200.0,27.78,20.4
2024-01-01 00:23:00,402300.0,27.77,20.6
2024-01-01 00:24:00,402400.0,27.76,20.8
2024-01-01 00:25:00,402500.0,27.75,21.0
2024-01-01 00:26:00,402600.0,27.74,21.2
2024-01-01 00:27:00,402700.0,27.73,21.4
2024-01-01 00:28:00,402800.0,27.72,21.6
2024-01-01 00:29:00,402900.0,27.71,21.8
2024-01-01 00:30:00,403000.0,27.7,20.0
2024-01-01 00:31:00,403100.0,27.69,20.2
2024-01-01 00:32:00,403200.0,27.68,20.4
2024-01-01 00:33:00,403300.0,27.67,20.6
2024-01-01 00:34:00,403400.0,27.66,20.8
2024-01-01 00:35:00,403500.0,27.65,21.0
2024-01-01 00:36:00,403600.0,27.64,21.2
2024-01-01 00:37:00,403700.0,27.63,21.4
2024-01-01 00:38:00,403800.0,27.62,21.6
2024-01-01 00:39:00,403900.0,27.61,21.8
2024-01-01 00:40:00,404000.0,27.6,20.0
2024-01-01 00:41:00,404100.0,27.59,20.2
2024-01-01 00:42:00,404200.0,27.58,20.4
2024-01-01 00:43:00,404300.0,27.57,20.6
2024-01-01 00:44:00,404400.0,27.56,20.8
2024-01-01 00:45:00,404500.0,27.55,21.0
2024-01-01 00:46:00,404600.0,27.54,21.2
2024-01-01 00:47:00,404700.0,27.53,21.4
2024-01-01 00:48:00,404800.0,27.52,21.6
2024-01-01 00:49:00,404900.0,27.51,21.8
2024-01-01 00:50:00,405000.0,27.5,20.0
2024-01-01 00:51:00,405100.0,27.49,20.2
2024-01-01 00:52:00,405200.0,27.48,20.4
2024-01-01 00:53:00,405300.0,27.47,20.6
2024-01-01 00:54:00,405400.0,27.46,20.8
2024-01-01 00:55:00,405500.0,27.45,21.0
2024-01-01 00:56:00,405600.0,27.44,21.2
2024-01-01 00:57:00,405700.0,27.43,21.4
2024-01-01 00:58:00,405800.0,27.42,21.6
2024-01-01 00:59:00,405900.0,27.41,21.8
2024-01-01 01:00:00,406000.0,27.4,20.0
2024-01-01 01:01:00,406100.0,27.39,20.2
2024-01-01 01:02:00,406200.0,27.38,20.4
2024-01-01 01:03:00,406300.0,27.37,20.6
2024-01-01 01:04:00,406400.0,27.36,20.8
2024-01-01 01:05:00,406500.0,27.35,21.0
2024-01-01 01:06:00,406600.0,27.34,21.2
2024-01-01 01:07:00,406700.0,27.33,21.4
2024-01-01 01:08:00,406800.0,27.32,21.6
2024-01-01 01:09:00,406900.0,27.31,21.8
2024-01-01 01:10:00,407000.0,27.3,20.0
2024-01-01 01:11:00,407100.0,27.29,20.2
2024-01-01 01:12:00,407200.0,27.28,20.4
2024-01-01 01:13:00,407300.0,27.27,20.6
2024-01-01 01:14:00,407400.0,27.26,20.8
2024-01-01 01:15:00,407500.0,27.25,21.0
2024-01-01 01:16:00,407600.0,27.24,21.2
2024-01-01 01:17:00,407700.0,27.23,21.4
2024-01-01 01:18:00,407800.0,27.22,21.6
2024-01-01 01:19:00,407900.0,27.21,21.8
2024-01-01 01:20:00,408000.0,27.2,20.0
2024-01-01 01:21:00,408100.0,27.19,20.2
2024-01-01 01:22:00,408200.0,27.18,20.4
2024-01-01 01:23:00,408300.0,27.17,20.6
2024-01-01 01:24:00,408400.0,27.16,20.8
2024-01-01 01:25:00,408500.0,27.15,21.0
2024-01-01 01:26:00,408600.0,27.14,21.2
2024-01-01 01:27:00,408700.0,27.13,21.4
2024-01-01 01:28:00,408800.0,27.12,21.6
2024-01-01 01:29:00,408900.0,27.11,21.8
2024-01-01 01:30:00,409000.0,27.1,20.0
2024-01-01 01:31:00,409100.0,27.09,20.2
2024-01-01 01:32:00,409200.0,27.08,20.4
2024-01-01 01:33:00,409300.0,27.07,20.6
2024-01-01 01:34:00,409400.0,27.06,20.8
2024-01-01 01:35:00,409500.0,27.05,21.0
2024-01-01 01:36:00,409600.0,27.04,21.2
2024-01-01 01:37:00,409700.0,27.03,21.4
2024-01-01 01:38:00,409800.0,27.02,21.6
2024-01-01 01:39:00,409900.0,27.01,21.8
